no.;lokasi;hari;jam;file
1;jalan jenderal sudirman semarang;Minggu;06.00;data/traffic_jalan jenderal sudirman semarang_Minggu-06.00.png
2;jalan jenderal sudirman semarang;Minggu;06.10;data/traffic_jalan jenderal sudirman semarang_Minggu-06.10.png
3;jalan jenderal sudirman semarang;Minggu;06.20;data/traffic_jalan jenderal sudirman semarang_Minggu-06.20.png
4;jalan jenderal sudirman semarang;Minggu;06.30;data/traffic_jalan jenderal sudirman semarang_Minggu-06.30.png
5;jalan jenderal sudirman semarang;Minggu;06.40;data/traffic_jalan jenderal sudirman semarang_Minggu-06.40.png
6;jalan jenderal sudirman semarang;Minggu;06.50;data/traffic_jalan jenderal sudirman semarang_Minggu-06.50.png
7;jalan jenderal sudirman semarang;Minggu;07.00;data/traffic_jalan jenderal sudirman semarang_Minggu-07.00.png
8;jalan jenderal sudirman semarang;Minggu;07.10;data/traffic_jalan jenderal sudirman semarang_Minggu-07.10.png
9;jalan jenderal sudirman semarang;Minggu;07.20;data/traffic_jalan jenderal sudirman semarang_Minggu-07.20.png
10;jalan jenderal sudirman semarang;Minggu;07.30;data/traffic_jalan jenderal sudirman semarang_Minggu-07.30.png
11;jalan jenderal sudirman semarang;Minggu;07.40;data/traffic_jalan jenderal sudirman semarang_Minggu-07.40.png
12;jalan jenderal sudirman semarang;Minggu;07.50;data/traffic_jalan jenderal sudirman semarang_Minggu-07.50.png
13;jalan jenderal sudirman semarang;Minggu;08.00;data/traffic_jalan jenderal sudirman semarang_Minggu-08.00.png
14;jalan jenderal sudirman semarang;Minggu;08.05;data/traffic_jalan jenderal sudirman semarang_Minggu-08.05.png
15;jalan jenderal sudirman semarang;Minggu;08.15;data/traffic_jalan jenderal sudirman semarang_Minggu-08.15.png
16;jalan jenderal sudirman semarang;Minggu;08.25;data/traffic_jalan jenderal sudirman semarang_Minggu-08.25.png
17;jalan jenderal sudirman semarang;Minggu;08.35;data/traffic_jalan jenderal sudirman semarang_Minggu-08.35.png
18;jalan jenderal sudirman semarang;Minggu;08.45;data/traffic_jalan jenderal sudirman semarang_Minggu-08.45.png
